ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12790,"센트럴","상계동",11350,A10025133,"노원 센트럴푸르지오",2005,2021,16,810,"서울특별시 노원구 상계동 85-33 노원 센트럴푸르지오",검토필요,
12823,"용마","면목동",11260,A13183204,"용마한신",2006,1990,16,565,"서울특별시 중랑구 면목동 1077-1 용마한신",검토필요,
2516,"롯데","우동",26350,A44517003,"동탄예당마을롯데캐슬",1993,2008,15,1222,"경기도 화성시 석우동 55 동탄예당마을롯데캐슬",검토필요,
11994,"효성","정자동",41111,A44071901,"정자백설마을효성",1985,2000,15,262,"경기도 수원장안구 정자동 880-2 정자백설마을효성",검토필요,
12321,"영동","삼동",41430,A10021630,"영동경동리인",2002,2017,15,123,"부산광역시 영도구 동삼동 1190- 영동경동리인",검토필요,
12813,"서변","서변동",27230,A70211006,"동서변월드메르디앙",1990,2005,15,902,"대구광역시 북구 서변동 1795 동서변월드메르디앙",검토필요,
3946,"중앙하이츠","구로동",11530,A15285804,"구로중앙하이츠아파트",1987,2001,14,597,"서울특별시 구로구 구로동 1269 구로중앙하이츠아파트",검토필요,
7520,"동신","가양동",30110,A15780603,"가양동신대아",1979,1993,14,660,"서울특별시 강서구 가양동 1459 가양동신대아",검토필요,
10304,"동아","작전동",28245,A40771305,"도두리마을 대동아파트",1983,1997,14,1299,"인천광역시 계양구 작전동 912-5 도두리마을 대동아파트",검토필요,
11569,"보성","비산동",27170,A73076503,"강변보성타운",1983,1997,14,687,"경상북도 구미시 비산동 28 강변보성타운",검토필요,
11925,"오치","오치동",29170,A50077602,"광주오치1",1978,1992,14,1658,"광주광역시 북구 오치동 1003 광주오치1",검토필요,
12043,"금락","하양읍 금락리",47290,A71270110,"하양금락우방타운",1983,1997,14,365,"경상북도 경산시 하양읍 금락리 391-1 하양금락우방타운",검토필요,
12222,"대동레미안","범천동",26230,A10022379,"대동레미안센트럴시티5",2005,2019,14,187,"부산광역시 부산진구 범천동 849-2 대동레미안센트럴시티5",검토필요,
3246,"상계대림","상계동",11350,A13983803,"상계대림e-편한세상",1989,2002,13,230,"서울특별시 노원구 상계동 1301 상계대림e-편한세상",검토필요,
7395,"신성","내동",30170,A46377908,"수내푸른마을신성벽산쌍용",1979,1992,13,2598,"경기도 성남분당구 수내동 71 수내푸른마을신성벽산쌍용",검토필요,
11578,"두암","두암동",29170,A50010012,"광주두암2",1979,1992,13,1640,"광주광역시 북구 두암동 968-1 광주두암2",검토필요,
12331,"현대","복대동",43113,A36181512,"하복대현대2차아파트",1986,1999,13,1464,"충청북도 청주흥덕구 복대동 3029 하복대현대2차아파트",검토필요,
12395,"동아","중동",27260,A42084904,"중동중흥마을신동아영남",1980,1993,13,640,"경기도 부천원미구 중동 1055 중동중흥마을신동아영남",검토필요,
12572,"경남","호계동",41173,A43173804,"무궁화경남",1981,1994,13,590,"경기도 안양동안구 호계동 1057 무궁화경남",검토필요,
12901,"문화","문화동",52130,A30176103,"대전문화1",1981,1994,13,960,"대전광역시 중구 문화동 779 대전문화1",검토필요,
12911,"양평","양평동2가",11560,A15010203,"양평벽산",2003,1990,13,417,"서울특별시 영등포구 양평동2가 23 양평벽산",검토필요,
